CODECODE,国民经济行业类型,等级
C0324,有色金属合金制造,3
C0325,有色金属压延加工,3
C03251,铜压延加工,4
C03252,铝压延加工,4
C03253,贵金属压延加工,4
C03254,稀有稀土金属压延加工,4
C03259,其他有色金属压延加工,4
C033,金属制品业,2
C0331,结构性金属制品制造,3
C03311,金属结构制造,4
C03312,金属门窗制造,4
C0332,金属工具制造,3
C03321,切削工具制造,4
C03322,手工具制造,4
C03323,农用及园林用金属工具制造,4
C03324,刀剪及类似日用金属工具制造,4
C03329,其他金属工具制造,4
C0333,集装箱及金属包装容器制造,3
C03331,集装箱制造,4
C03332,金属压力容器制造,4
C03333,金属包装容器及材料制造,4
C0334,金属丝绳及其制品制造,3
C0335,建筑、安全用金属制品制造,3
C03351,建筑、家具用金属配件制造,4
C03352,建筑装饰及水暖管道零件制造,4
C03353,安全、消防用金属制品制造,4
C03359,其他建筑、安全用金属制品制造,4
C0336,金属表面处理及热处理加工,3
C0337,搪瓷制品制造,3
C03371,生产专用搪瓷制品制造,4
C03372,建筑装饰搪瓷制品制造,4
C03373,搪瓷卫生洁具制造,4
C03379,搪瓷日用品及其他搪瓷制品制造,4
C0338,金属制日用品制造,3
C03381,金属制厨房用器具制造,4
C03382,金属制餐具和器皿制造,4
C03383,金属制卫生器具制造,4
C03389,其他金属制日用品制造,4
C0339,铸造及其他金属制品制造,3
C03391,黑色金属铸造,4
C03392,有色金属铸造,4
C03393,锻件及粉末冶金制品制造,4
C03394,交通及公共管理用金属标牌制造,4
C03399,其他未列明金属制品制造,4
C034,通用设备制造业,2
C0341,锅炉及原动设备制造,3
C03411,锅炉及辅助设备制造,4
C03412,内燃机及配件制造,4
C03413,汽轮机及辅机制造,4
C03414,水轮机及辅机制造,4
C03415,风能原动设备制造,4
C03419,其他原动设备制造,4
C0342,金属加工机械制造,3
C03421,金属切削机床制造,4
C03422,金属成形机床制造,4
C03423,铸造机械制造,4
C03424,金属切割及焊接设备制造,4
C03425,机床功能部件及附件制造,4
C03429,其他金属加工机械制造,4
C0343,物料搬运设备制造,3
C03431,轻小型起重设备制造,4
C03432,生产专用起重机制造,4
C03433,生产专用车辆制造,4
C03434,连续搬运设备制造,4
C03435,电梯、自动扶梯及升降机制造,4
C03436,客运索道制造,4
C03437,机械式停车设备制造,4
C03439,其他物料搬运设备制造,4
C0344,泵、阀门、压缩机及类似机械制造,3
C03441,泵及真空设备制造,4
C03442,气体压缩机械制造,4
C03443,阀门和旋塞制造,4
C03444,液压动力机械及元件制造,4
C03445,液力动力机械元件制造,4
C03446,气压动力机械及元件制造,4
C0345,轴承、齿轮和传动部件制造,3
C03451,滚动轴承制造,4
C03452,滑动轴承制造,4
C03453,齿轮及齿轮减、变速箱制造,4
C03459,其他传动部件制造,4
C0346,烘炉、风机、包装等设备制造,3
C03461,烘炉、熔炉及电炉制造,4
C03462,风机、风扇制造,4
C03463,气体、液体分离及纯净设备制造,4
C03464,制冷、空调设备制造,4
C03465,风动和电动丁.具制造,4
C03466,喷枪及类似器具制造,4
C03467,包装专用设备制造,4
C0347,文化、办公用机械制造,3
C03471,电影机械制造,4
C03472,幻灯及投影设备制造,4
C03473,照相机及器材制造,4
C03474,复印和胶印设备制造,4
C03475,计算器及货币专用设备制造,4
C03479,其他文化、办公用机械制造,4
C0348,通用零部件制造,3
C03481,金属密封件制造,4
C03482,紧同件制造,4
C03483,弹簧制造,4
C03484,机械零部件加工,4
C03489,其他通用零部件制造,4
C0349,其他通用设备制造业,3
C03491,工业机器人制造,4
C03492,特殊作业机器人制造,4
C03493,增材制造装备制造,4
C03499,其他未列明通用设备制造业,4
C035,专用设备制造业,2
C0351,采矿、冶金、建筑专用设备制造,3
C03511,矿山机械制造,4
C03512,石油钻采专用设备制造,4
C03513,深海石油钻探设备制造,4
C03514,建筑工程用机械制造,4
C03515,建筑材料生产专用机械制造,4
C03516,冶金专用设备制造,4
C03517,隧道施工专用机械制造,4
C0352,化工、木材、非金属加工专用设备制造,3
C03521,炼油、化工生产专用设备制造,4
C03522,橡胶加工专用设备制造,4
C03523,塑料加工专用设备制造,4
C03524,木竹材加工机械制造,4
C03525,模具制造,4
C03529,其他非金属加工专用设备制造,4
C0353,食品、饮料、烟草及伺料生产专用设 备制造 食品、酒、饮料及茶生产专用设备 制造,3
C03532,农副食品加工专用设备制造,4
C03533,烟草生产专用设备制造,4
C03534,饲料生产专用设备制造,4
C0354,印刷、制药、日化及日用品生产专用 设备制造,3
C03541,制浆和造纸专用设备制造,4
C03542,印刷专用设备制造,4
C03543,日用化工专用设备制造,4
C03544,制药专用设备制造,4
C03545,照明器具生产专用设备制造,4
C03546,玻璃、陶瓷和搪瓷制品生产专用设 备制造,4
C03549,其他日用品生产专用设备制造,4
C0355,纺织、服装和皮革加工专用设备制造,3
C03551,纺织专用设备制造,4
C03552,皮革、毛皮及其制品加工专用设备 制造,4
C03553,缝制机械制造,4
C03554,洗涤机械制造,4
C0356,电子和电工机械专用设备制造,3
C03561,电工机械专用设备制造,4
C03562,半导体器件专用设备制造,4
C03563,电子元器件与机电组件设备制造,4
C03569,其他电子专用设备制造,4
C0357,农、林、牧、渔专用机械制造,3
C03571,拖拉机制造,4
C03572,机械化农业及园艺机具制造,4
C03573,营林及木竹采伐机械制造,4
C03574,畜牧机械制造,4
C03575,渔业机械制造,4
C03576,农林牧渔机械配件制造,4
C03577,棉花加工机械制造,4
C03579,其他农、林、牧、渔业机械制造,4
C0358,医疗仪器设备及器械制造,3
C03581,医疗诊断、监护及治疗设备制造,4
C03582,口腔科用设备及器具制造,4
C03583,医疗实验室及医用消毒设备和器 具制造,4
C03584,医疗、外科及兽医用器械制造,4
C03585,机械治疗及病房护理设备制造,4
C03586,康复辅具制造,4
C03587,眼镜制造,4
C03589,其他医疗设备及器械制造,4
C0359,环保、邮政、社会公共服务及其他专 用设备制造,3
C03591,环境保护专用设备制造,4
C03592,地质勘查专用设备制造,4
C03593,邮政专用机械及器材制造,4
C03594,商业、饮食、服务专用设备制造,4
C03595,社会公共安全设备及器材制造,4
C03596,交通安全、管制及类似专用设备 制造,4
C03597,水资源专用机械制造,4
C03599,其他专用设备制造,4
C036,汽车制造业,2
C0361,汽车整车制造,3
C03611,汽柴油车整车制造,4
C03612,新能源车整车制造,4
C0362,汽车用发动机制造,3
C0363,改装汽车制造,3
C0364,低速汽车制造,3
C0365,电车制造,3
C0366,汽车车身、挂车制造,3
C0367,汽车零部件及配件制造,3
C037,铁路、船舶、航空航天和其他运输设备 制造业,2
C0371,铁路运输设备制造,3
C03711,高铁车组制造,4
C03712,铁路机车车辆制造,4
C03713,窄轨机车车辆制造,4
C03714,高铁设备、配件制造,4
C03715,铁路机车车辆配件制造,4
C03716,铁路专用设备及器材、配件制造,4
C03719,其他铁路运输设备制造,4
C0372,城市轨道交通设备制造,3
C0373,船舶及相关装置制造,3
C03731,金属船舶制造,4
C03732,非金属船舶制造,4
C03733,娱乐船和运动船制造,4
C03734,船用配套设备制造,4
C03735,船舶改装,4
C03736,船舶拆除,4
C03737,海洋工程装备制造,4
C03739,航标器材及其他相关装置制造,4
C0374,航空、航天器及设备制造,3
C03741,飞机制造,4
C03742,航天器及运载火箭制造,4
C03743,航天相关设备制造,4
C03744,航空相关设备制造,4
C03749,其他航空航天器制造,4
C0375,摩托车制造,3
C03751,摩托车整车制造,4
C03752,摩托车零部件及配件制造,4
C0376,自行车和残疾人座车制造,3
C03761,自行车制造,4
C03762,残疾人座车制造,4
C0377,助动车制造,3
C0378,非公路休闲车及零配件制造,3
C0379,潜水救捞及其他未列明运输设备制造,3
C03791,潜水装备制造,4
C03792,水下救捞装备制造,4
C03799,其他未列明运输设备制造,4
C038,电气机械和器材制造业,2
C0381,电机制造,3
C03811,发电机及发电机组制造,4
C03812,电动机制造,4
C03813,微特电机及组件制造,4
C03819,其他电机制造,4
C0382,输配电及控制设备制造,3
C03821,变压器、整流器和电感器制造,4
C03822,电容器及其配套设备制造,4
C03823,配电开关控制设备制造,4
C03824,电力电子元器件制造,4
C03825,光伏设备及元器件制造,4
C03829,其他输配电及控制设备制造,4
C0383,电线、电缆、光缆及电工器材制造,3
C03831,电线、电缆制造,4
C03832,光纤制造,4
C03833,光缆制造,4
C03834,绝缘制品制造,4
C03839,其他电工器材制造,4
C0384,电池制造,3
C03841,锂离子电池制造,4
